States,Dimension1,Dimension2,cluster
California,35.30586808103097,4.477828700635905,1
Virginia,5.221705194307593,-0.3298143961120783,2
Florida,-3.112672322020928,2.490829417424251,0
New York,13.19205142719498,-0.679636823980359,2
New Jersey,19.874966079103,3.429520919847165,2
Texas,-8.767210078180193,-1.7731129715362537,0
Utah,5.584738679936409,-1.5369889469287852,2
Washington,14.60579696776554,-0.1345381515869469,2
Illinois,-5.110295822899733,2.9932619731025274,0
Colorado,11.548527891379818,-0.585703802520954,2
Arkansas,-14.823527749455218,-1.20648304624578,0
Arizona,0.7806104750964517,2.845246137316145,2
Nevada,4.310247386716595,7.540226089205133,2
Michigan,-12.839609493139257,2.596610860154314,0
New Hampshire,5.740620370935251,2.3393229825035906,2
Rhode Island,8.32986624725076,3.524840106655274,2
Pennsylvania,-7.923412763035567,-1.1810024590836958,0
Tennessee,-9.772835436265671,-1.059616240033994,0
Massachusetts,25.234532388604308,4.160549857599034,1
the District of Columbia,37.56930985162677,-6.835484325974565,1
Minnesota,-1.120874127172861,2.0649964155069367,0
North Carolina,-6.670477021599778,-0.0902554385498984,0
Oregon,8.845324726509293,-1.6976658654744363,2
Georgia,-8.103428563977545,1.703012897538444,0
Hawaii,45.97699501672473,-6.783992499314083,1
West Virginia,-18.35495225906761,-1.285707214094189,0
Maryland,13.42724999486079,1.8256631473554228,2
Maine,-2.1948083916397647,0.1722463485679365,0
Idaho,-3.0950701390917006,-1.3881477511654,0
Alaska,8.180510351414975,-3.0421654245691307,2
South Carolina,-8.819525018795417,-0.3413525845708662,0
Wisconsin,-6.560955788060551,0.5960025436322047,0
Vermont,1.8509157741361963,-2.7331869881198743,2
Missouri,-12.012431090241408,0.0676172001274988,0
Kansas,-14.453674481650324,-1.2577294831861114,0
Connecticut,9.685392226655985,4.210571954617671,2
Delaware,6.31460736626699,1.035410709026,2
Wyoming,0.4418703640388434,-2.806598054686132,2
Mississippi,-15.779807956836205,-1.053150474234533,0
Louisiana,-9.140704638090153,-1.655232458255392,0
Alabama,-12.935245795412568,-0.7705076408239648,0
Indiana,-14.353505217711234,-0.7800942691377025,0
Nebraska,-11.680562282511616,-0.936369004524072,0
Oklahoma,-16.240582737138624,-1.4890000886694408,0
New Mexico,-5.476576214683887,-0.4121418207101531,0
South Dakota,-8.359022007375986,-2.6199984600263724,0
Kentucky,-16.677143658044102,-0.9538642841910382,0
Ohio,-13.84060515215537,0.698386846373154,0
Iowa,-13.802190655302931,-1.3526041388824064,0
